LineageBroad,BoostTiterGroup,DetectionSpeed,n
Other,HighNotBoosted,Delayed detection,3
Other,LowNotBoosted,Delayed detection,1
Delta,HighNotBoosted,Delayed detection,26
Delta,LowBoosted,Delayed detection,4
Delta,LowNotBoosted,Delayed detection,27
Omicron,HighBoosted,Delayed detection,91
Omicron,HighNotBoosted,Delayed detection,25
Omicron,LowBoosted,Delayed detection,150
Omicron,LowNotBoosted,Delayed detection,22
Other,HighNotBoosted,Frequent testing,12
Other,LowNotBoosted,Frequent testing,3
Delta,HighBoosted,Frequent testing,2
Delta,HighNotBoosted,Frequent testing,5
Delta,LowNotBoosted,Frequent testing,6
Omicron,HighBoosted,Frequent testing,46
Omicron,HighNotBoosted,Frequent testing,12
Omicron,LowBoosted,Frequent testing,68
Omicron,LowNotBoosted,Frequent testing,5
