Model,ELPD difference,SE difference,Weight,AUC,Classification accuracy,Accuracy (>=30),Accuracy (<30)
"Cumulative number of exposures, lineage and age",0,0,0.157,0.8968760412671867,0.8276311974485359,0.8896901188852075,0.6474250141482739
"Days since previous exposure, lineage and age",-1.8127134703583008,10.010553741627508,0.299,0.8962730507119794,0.8234270803131343,0.8781913856947964,0.6644029428409735
"Vaccination status, lineage and age",-7.440491151271133,9.828395681939002,0.0886,0.8960174387471562,0.8235720498695274,0.8813096862210096,0.6559139784946236
Cumulative number of exposures and age,-27.934566158920052,8.822941631231831,0.104,0.8942135407170835,0.823137141200348,0.8873513934905477,0.6366723259762309
Cumulative number of exposures and lineage,-31.53612890408193,9.427598523676386,8.99e-06,0.893814322806973,0.8244418672078864,0.8914441629312025,0.629881154499151
Vaccination status and age,-33.93345705467501,12.389053884657596,1.88e-09,0.892772628221524,0.8218324151928095,0.8822841551354512,0.6462931522354273
Vaccination status and lineage,-35.27375252643043,13.692879497578591,0.156,0.8930094897941055,0.8240069585387069,0.885792243227441,0.6445953593661573
Days since previous exposure and lineage,-39.74986769107777,14.205672160801774,4.09e-05,0.8912342136863083,0.8218324151928095,0.8830637302670045,0.644029428409734
Days since previous exposure and age,-40.92939425476705,12.503235122676047,2.02e-05,0.8915154695699335,0.8199478109596985,0.8770220229974663,0.6542161856253537
Lineage and age,-52.43677518285304,11.681316374962918,1.77e-05,0.8900374974755905,0.8171933893882285,0.8838433053985578,0.6236559139784946
Cumulative number of exposures,-53.66137024801248,12.344490806609215,0.143,0.8916999403406638,0.8221223543055958,0.8951471448060807,0.610073571024335
Vaccination status,-58.50268479225081,15.161947166747405,1.91e-05,0.8904814405860179,0.8224122934183822,0.888130968622101,0.631578947368421
Age,-60.15983779343918,12.687847074649637,2.16e-06,0.8899157853706567,0.8182081762829806,0.8822841551354512,0.6321448783248443
Days since previous exposure,-69.8423207223581,15.546875563263674,0.0446,0.8884366000156401,0.8173383589446216,0.8838433053985578,0.624221844934918
Lineage,-87.42722386384723,15.55434253673033,0.00722,0.8866138964451131,0.8177732676138011,0.8889105437536543,0.6112054329371817
Baseline,-93.08658042301887,15.84257348195143,1.41e-05,0.8859837178211556,0.8173383589446216,0.8902748002338725,0.6055461233729486
