var,name,mean,lwr,upr,string
Peak Ct,Other: Unexposed,23.5,18.3,27.7,"23.5 (18.3, 27.7)"
Peak Ct,"Delta: Exposed, <250",23,12.1,30.5,"23 (12.1, 30.5)"
Peak Ct,"Delta: Exposed, >250",22.9,10.8,30.8,"22.9 (10.8, 30.8)"
Peak Ct,"Omicron: Exposed, 250",24.7,23.6,25.8,"24.7 (23.6, 25.8)"
Peak Ct,"Omicron: Exposed, >250",26,25.3,26.7,"26 (25.3, 26.7)"
Peak GEML,Other: Unexposed,7.2,6.1,8.7,"7.2 (6.1, 8.7)"
Peak GEML,"Delta: Exposed, <250",7.4,5.3,10.4,"7.4 (5.3, 10.4)"
Peak GEML,"Delta: Exposed, >250",7.4,5.2,10.7,"7.4 (5.2, 10.7)"
Peak GEML,"Omicron: Exposed, 250",6.9,6.6,7.2,"6.9 (6.6, 7.2)"
Peak GEML,"Omicron: Exposed, >250",6.5,6.3,6.7,"6.5 (6.3, 6.7)"
Proliferation time,Other: Unexposed,4.2,3.1,5.6,"4.2 (3.1, 5.6)"
Proliferation time,"Delta: Exposed, <250",4.3,2.3,7.2,"4.3 (2.3, 7.2)"
Proliferation time,"Delta: Exposed, >250",4.3,2.3,7.2,"4.3 (2.3, 7.2)"
Proliferation time,"Omicron: Exposed, 250",3.8,3.3,4.4,"3.8 (3.3, 4.4)"
Proliferation time,"Omicron: Exposed, >250",3.6,3.2,4,"3.6 (3.2, 4)"
Clearance time,Other: Unexposed,7.7,5.8,10.3,"7.7 (5.8, 10.3)"
Clearance time,"Delta: Exposed, <250",7.9,4.2,13.5,"7.9 (4.2, 13.5)"
Clearance time,"Delta: Exposed, >250",7.9,4.2,13.2,"7.9 (4.2, 13.2)"
Clearance time,"Omicron: Exposed, 250",6.7,5.9,7.6,"6.7 (5.9, 7.6)"
Clearance time,"Omicron: Exposed, >250",5.5,5,6.1,"5.5 (5, 6.1)"
