DaysSinceDetection,LineageBroad_BoostTiterGroup,low_ct1,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__,LineageBroad,BoostTiterGroup,Detection group
0,DeltaHighBoosted,0.2657584383895893,1,0,DeltaHighBoosted,0.037200953837204696,0.042311653137247114,6.749818100935313e-4,0.2742905833236206,Delta,Boosted: >250 AU/ml,Frequent testing
0,DeltaHighNotBoosted,0.2657584383895893,1,0,DeltaHighNotBoosted,0.11401858762593259,0.06669299435471526,0.028093211523222604,0.3170606931530956,Delta,Not Boosted: >250 AU/ml,Frequent testing
0,DeltaLowNotBoosted,0.2657584383895893,1,0,DeltaLowNotBoosted,0.21043895603795507,0.08198294637609163,0.08690729320120402,0.40568982740666104,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
0,OmicronHighBoosted,0.2657584383895893,1,0,OmicronHighBoosted,0.14031130057878502,0.030538471151402572,0.09024824489250136,0.20970637423096278,Omicron,Boosted: >250 AU/ml,Frequent testing
0,OmicronHighNotBoosted,0.2657584383895893,1,0,OmicronHighNotBoosted,0.1370837001055386,0.03109061118674318,0.08366999222099968,0.20947267159987554,Omicron,Not Boosted: >250 AU/ml,Frequent testing
0,OmicronLowBoosted,0.2657584383895893,1,0,OmicronLowBoosted,0.16236076211519035,0.031164459930851977,0.10612079600935019,0.22860870489745194,Omicron,Boosted: ≤250 AU/ml,Frequent testing
0,OmicronLowNotBoosted,0.2657584383895893,1,0,OmicronLowNotBoosted,0.148756145405907,0.04342626923151785,0.079780785382647,0.25176275128449577,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
0,OtherHighNotBoosted,0.2657584383895893,1,0,OtherHighNotBoosted,0.09790647641601127,0.0291563126871181,0.050592045982818794,0.16967404980909162,Other,Not Boosted: >250 AU/ml,Frequent testing
0,OtherLowNotBoosted,0.2657584383895893,1,0,OtherLowNotBoosted,0.330406195087814,0.09579630346014636,0.16969425965548804,0.5462295651540746,Other,Not Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,DeltaHighBoosted,0.2657584383895893,1,0.25252525252525254,DeltaHighBoosted,0.0597686303325137,0.06424700925489345,0.0015568375369887318,0.3561694635492546,Delta,Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,DeltaHighNotBoosted,0.2657584383895893,1,0.25252525252525254,DeltaHighNotBoosted,0.16010404601549724,0.08491312311764067,0.04465877773315798,0.3895786230617527,Delta,Not Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,DeltaLowNotBoosted,0.2657584383895893,1,0.25252525252525254,DeltaLowNotBoosted,0.281521755190244,0.09440681256949524,0.13109182252425963,0.48931390057818464,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,OmicronHighBoosted,0.2657584383895893,1,0.25252525252525254,OmicronHighBoosted,0.1885242865238982,0.034217033490279665,0.12972231243006235,0.2621804415965941,Omicron,Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,OmicronHighNotBoosted,0.2657584383895893,1,0.25252525252525254,OmicronHighNotBoosted,0.18413263404292826,0.035796540716014034,0.12127916607734472,0.2641887421928489,Omicron,Not Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,OmicronLowBoosted,0.2657584383895893,1,0.25252525252525254,OmicronLowBoosted,0.2243658396867078,0.035751989903537715,0.1583156051321152,0.29654163355229507,Omicron,Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,OmicronLowNotBoosted,0.2657584383895893,1,0.25252525252525254,OmicronLowNotBoosted,0.1964150910101194,0.05018593078469611,0.11401846060722248,0.31029436345291095,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,OtherHighNotBoosted,0.2657584383895893,1,0.25252525252525254,OtherHighNotBoosted,0.13783866998865696,0.036255359757246045,0.07714152670508796,0.22103343910119347,Other,Not Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,OtherLowNotBoosted,0.2657584383895893,1,0.25252525252525254,OtherLowNotBoosted,0.3836468835505241,0.09299399147800472,0.21844035337991172,0.5736334123589243,Other,Not Boosted: ≤250 AU/ml,Frequent testing
0.5050505050505051,DeltaHighBoosted,0.2657584383895893,1,0.5050505050505051,DeltaHighBoosted,0.09457036652003717,0.09519154747479695,0.0035528723066337383,0.44832749399399563,Delta,Boosted: >250 AU/ml,Frequent testing
0.5050505050505051,DeltaHighNotBoosted,0.2657584383895893,1,0.5050505050505051,DeltaHighNotBoosted,0.21766300427404672,0.10318132426614945,0.06874655443061413,0.46729185336917095,Delta,Not Boosted: >250 AU/ml,Frequent testing
0.5050505050505051,DeltaLowNotBoosted,0.2657584383895893,1,0.5050505050505051,DeltaLowNotBoosted,0.3645194315721755,0.10273448747265329,0.19291143957833376,0.5738245749742771,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
0.5050505050505051,OmicronHighBoosted,0.2657584383895893,1,0.5050505050505051,OmicronHighBoosted,0.24674334904427025,0.03656797192395384,0.18055182055535535,0.32476468998181546,Omicron,Boosted: >250 AU/ml,Frequent testing
0.5050505050505051,OmicronHighNotBoosted,0.2657584383895893,1,0.5050505050505051,OmicronHighNotBoosted,0.24235803263101804,0.03944332201190001,0.17189384356444337,0.32775943269507396,Omicron,Not Boosted: >250 AU/ml,Frequent testing
